area,beds,count,median,q25,q75,min,max
chingford,2,21,500000.0,450000.0,600000.0,170000,850000
chingford,3,80,575000.0,525000.0,676250.0,270000,900000
walthamstow,2,30,587500.0,503750.0,675000.0,250000,775000
walthamstow,3,70,650000.0,596250.0,750000.0,380000,1125000
leytonstone,2,23,525000.0,487500.0,600000.0,325000,700000
leytonstone,3,56,650000.0,600000.0,706250.0,475000,1250000
wanstead,2,10,660000.0,556250.0,738750.0,480000,1250000
wanstead,3,19,860000.0,775000.0,950000.0,650000,1450000
woodford,2,13,539000.0,450000.0,600000.0,325000,895000
woodford,3,47,725000.0,600000.0,800000.0,400000,1200000
loughton,2,22,512500.0,475000.0,590000.0,400000,750000
loughton,3,41,525000.0,475000.0,650000.0,369995,2500000
theydon_bois,3,4,812500.0,725000.0,893750.0,650000,950000
epping,2,14,475000.0,460000.0,518750.0,375000,600000
epping,3,39,675000.0,612500.0,700000.0,450000,1200000
cheshunt,2,10,415000.0,375000.0,468750.0,299999,585000
cheshunt,3,36,475000.0,450000.0,530000.0,400000,675000
isle_of_dogs,2,6,552500.0,531250.0,701250.0,500000,1100000
isle_of_dogs,3,22,700000.0,650000.0,750000.0,270000,925000
surrey_quays,2,4,612500.0,556250.0,668750.0,500000,725000
surrey_quays,3,13,800000.0,725000.0,1000000.0,650000,1850000
nunhead,2,8,550000.0,512500.0,676250.0,425000,820000
nunhead,3,27,800000.0,750000.0,1037500.0,350000,2250000
putney,2,6,757500.0,693750.0,787500.0,650000,825000
putney,3,15,740000.0,699999.0,760000.0,450000,850000
wimbledon,2,40,725000.0,667500.0,856250.0,380000,2500000
wimbledon,3,85,950000.0,850000.0,1135000.0,575000,3000000
